"","Name","adj.P.Val","P.Value","logFC"
"497","ZFP36",0.000118,6.35e-06,0.5209743
"498","",0.000119,6.39e-06,-0.7376666
"499","CTSL",0.000122,6.57e-06,0.7821827
"500","",0.000123,6.61e-06,1.2304897
"501","",0.000123,6.62e-06,0.5301401
"502","",0.000124,6.74e-06,-0.6011166
"503","COPG1",0.000124,6.74e-06,0.5761111
"504","LILRB2",0.000126,6.87e-06,0.6901272
"505","NME8",0.000126,6.91e-06,1.0215548
"506","MSRB1",0.000128,7e-06,0.7370751
"507","",0.000128,7.01e-06,0.5059072
"508","",0.000128,7.02e-06,-0.6538886
"509","SIGLEC9",0.000129,7.12e-06,0.9947697
"510","AGTRAP",0.000132,7.3e-06,0.7555229
"511","RBPJ",0.000132,7.34e-06,0.7152507
"512","FLOT1",0.000133,7.43e-06,0.6428102
"513","SULT1B1",0.000133,7.43e-06,1.0896674
"514","FBXL5",0.000134,7.47e-06,0.6469932
"515","NLRP3",0.000134,7.48e-06,0.703661
"516","ZCWPW1",0.000135,7.59e-06,-0.5710566
"517","METTL9",0.000135,7.59e-06,0.8583436
"518","LILRA3",0.000136,7.61e-06,1.4211697
"519","IRF7",0.000136,7.64e-06,0.9606949
"520","FLNB",0.000136,7.66e-06,-0.6177263
"521","SASH1",0.000137,7.72e-06,0.8567485
"522","TIMM22",0.000137,7.74e-06,-0.5086629
"523","",0.000139,7.91e-06,0.8786641
"524","GADD45A",0.00014,8.01e-06,0.8955152
"525","LRRC14",0.000141,8.03e-06,-0.520935
"526","",0.000141,8.08e-06,0.6704788
"527","RHOT1",0.000148,8.5e-06,0.5060899
"528","APLP2",0.000151,8.71e-06,0.5782006
"529","SERPINA1",0.000152,8.77e-06,0.7813195
"530","RHOH",0.000152,8.81e-06,-0.566049
"531","NFKB2",0.000153,8.84e-06,0.6063253
"532","UBR4",0.000153,8.87e-06,0.5715177
"533","MAP3K7CL",0.000157,9.12e-06,-0.9097743
"534","NT5C3A",0.00016,9.32e-06,0.6952799
"535","FPR1",0.000162,9.45e-06,0.9061638
"536","",0.000163,9.53e-06,-0.7048498
"537","LAP3",0.000166,9.76e-06,0.9756417
"538","MT1A",0.000167,9.84e-06,0.952066
"539","DEFA1B",0.000168,9.91e-06,2.2226372
"540","",0.000168,9.91e-06,0.529898
"541","",0.000168,9.93e-06,0.8184216
"542","TSC22D4",0.000169,9.99e-06,0.5149868
"543","UBA3",0.000171,1.01e-05,0.5416996
"544","CD37",0.000172,1.02e-05,0.5798702
"545","HIST1H2BD",0.000173,1.03e-05,0.834962
"546","ANKRD46",0.000173,1.03e-05,-0.5301089
"547","",0.000176,1.05e-05,0.5323328
"548","AGPS",0.000178,1.07e-05,0.5224216
"549","FEN1",0.000179,1.08e-05,0.5169192
"550","TLR8",0.000181,1.09e-05,0.7824828
"551","GBP1",0.000182,1.1e-05,1.1052933
"552","USP10",0.000182,1.11e-05,0.7447597
"553","TAF6L",0.000183,1.12e-05,-0.7024532
"554","MTF1",0.000185,1.12e-05,0.6603673
"555","DEFA1B",0.000186,1.13e-05,2.2719097
"556","ROPN1L",0.000186,1.14e-05,1.0251603
"557","",0.000187,1.14e-05,-1.3287267
"558","PICALM",0.000187,1.14e-05,0.8776712
"559","ADRB2",0.000188,1.16e-05,-0.5350928
"560","PAG1",0.000188,1.16e-05,0.5681876
"561","ARID3A",0.000188,1.16e-05,0.5121612
"562","DESI1",0.00019,1.18e-05,0.5532042
"563","",0.000191,1.18e-05,-0.7497603
"564","CSRNP1",0.000193,1.2e-05,0.5971543
"565","C1RL",0.000195,1.21e-05,0.6664496
"566","GGA2",0.000195,1.22e-05,-0.5755255
"567","FERMT3",0.000203,1.27e-05,0.5952806
"568","MED16",0.000203,1.27e-05,1.0816508
"569","CXCR1",0.000204,1.28e-05,1.0244841
"570","CASP1",0.000204,1.28e-05,0.6685633
"571","",0.000207,1.3e-05,-0.614645
"572","",0.000207,1.31e-05,0.6353019
"573","S100A12",0.000207,1.31e-05,1.5650645
"574","ADGRG5",0.000207,1.31e-05,-0.6749406
"575","TYROBP",0.00021,1.33e-05,0.554777
"576","ST3GAL3",0.000211,1.34e-05,-0.6465456
"577","CD37",0.000212,1.35e-05,0.6004608
"578","IL18BP",0.000212,1.35e-05,-0.6976914
"579","",0.000212,1.35e-05,-1.1281527
"580","RELA",0.000212,1.36e-05,0.5973525
"581","",0.000212,1.36e-05,-0.5436559
"582","ZNF827",0.000218,1.4e-05,-0.5819756
"583","",0.000219,1.41e-05,-0.8086592
"584","TCTN1",0.000223,1.44e-05,-0.5562436
"585","EGR1",0.000226,1.46e-05,0.5953134
"586","DEFA3",0.000226,1.46e-05,2.1732333
"587","FRAT2",0.000226,1.47e-05,0.6152119
"588","UAP1L1",0.000227,1.48e-05,-0.7381719
"589","",0.000228,1.48e-05,-0.7297459
"590","NPL",0.000229,1.49e-05,0.6236794
"591","PLAC8",0.000232,1.52e-05,0.5414729
"592","",0.000232,1.52e-05,0.9514977
"593","ABCC5",0.000235,1.54e-05,-0.5733263
"594","MKNK1",0.000235,1.55e-05,0.5589114
"595","",0.000235,1.55e-05,-0.5505429
"596","COPE",0.000235,1.55e-05,0.6180525
"597","",0.000237,1.57e-05,-0.9543615
"598","KIFAP3",0.000238,1.57e-05,-0.6045726
"599","HELZ2",0.000238,1.58e-05,0.8690806
"600","TSPO",0.000241,1.6e-05,1.0733189
"601","AKAP7",0.000242,1.61e-05,-0.5070683
"602","YIPF1",0.000243,1.62e-05,0.5039257
"603","RRAGD",0.000243,1.62e-05,0.6319365
"604","",0.000249,1.67e-05,-0.9084082
"605","RNA28S5",0.000249,1.67e-05,1.5871074
"606","DEFA1B",0.000252,1.69e-05,2.1464967
"607","PGAM1",0.000252,1.7e-05,0.5874919
"608","",0.000253,1.7e-05,-0.7467654
"609","NCOA7",0.000253,1.71e-05,0.7413896
"610","CD36",0.000254,1.72e-05,0.8925016
"611","",0.000257,1.74e-05,-0.9449572
"612","NLRP12",0.000258,1.75e-05,1.1926094
"613","DHX30",0.00026,1.77e-05,-0.6775195
"614","",0.00026,1.77e-05,0.6941961
"615","GADD45B",0.000264,1.8e-05,0.6047945
"616","",0.000268,1.84e-05,0.7747183
"617","",0.000268,1.85e-05,-0.6196511
"618","FUCA2",0.000268,1.85e-05,0.6240968
"619","TYMS",0.000268,1.85e-05,0.8424826
"620","HNRNPA1P10",0.000272,1.88e-05,-0.9449027
"621","",0.000272,1.88e-05,0.5578841
"622","PSMB9",0.000272,1.89e-05,0.6751521
"623","",0.000272,1.89e-05,-0.727519
"624","ID3",0.000273,1.9e-05,-0.7320266
"625","MTX1",0.000276,1.92e-05,0.7829787
"626","DMXL2",0.000287,2.02e-05,0.6928528
"627","",0.000288,2.02e-05,-0.8049414
"628","LDHB",0.000294,2.07e-05,-0.5123756
"629","FAM76B",0.000294,2.08e-05,-0.7220913
"630","KRT73",0.000295,2.09e-05,-0.818092
"631","LIMK2",0.000301,2.14e-05,1.3203088
"632","CUX1",0.000302,2.14e-05,0.631535
"633","",0.000306,2.18e-05,0.798457
"634","SQRDL",0.000306,2.18e-05,0.7146811
"635","",0.00031,2.21e-05,-0.9426257
"636","",0.000311,2.22e-05,0.701347
"637","CDK5",0.000312,2.24e-05,0.6047539
"638","",0.000312,2.24e-05,-0.5032324
"639","DPH5",0.000316,2.27e-05,-0.5499414
"640","",0.000318,2.29e-05,0.8477015
"641","",0.000324,2.34e-05,0.5793524
"642","TGFA",0.000325,2.35e-05,0.8681793
"643","RPL14",0.000328,2.38e-05,-1.0296794
"644","RNU6-1",0.000328,2.39e-05,0.5721267
"645","KIAA0101",0.000328,2.4e-05,1.0001724
"646","MS4A6A",0.000339,2.49e-05,0.6432148
"647","RPL7",0.000339,2.5e-05,-0.8217147
"648","CHMP5",0.000342,2.52e-05,0.6792796
"649","CEACAM1",0.000348,2.57e-05,1.1504504
"650","RAB5C",0.000349,2.58e-05,0.5566935
"651","VCAN",0.000353,2.63e-05,0.9241155
"652","",0.000353,2.63e-05,1.1351373
"653","POLRMT",0.000355,2.65e-05,-0.5857417
"654","DEFA1",0.000355,2.65e-05,1.8804041
"655","",0.000356,2.67e-05,-0.8454903
"656","PTTG3P",0.000356,2.67e-05,0.8968898
"657","",0.000366,2.76e-05,0.5731256
"658","SNRNP200",0.000368,2.78e-05,-0.6373109
"659","KCTD12",0.000368,2.79e-05,0.7953997
"660","PLXDC2",0.000371,2.81e-05,0.7456839
"661","",0.000374,2.86e-05,-0.7675036
"662","FAM102A",0.000378,2.9e-05,-0.588614
"663","BLOC1S1",0.000378,2.9e-05,0.522477
"664","",0.000382,2.93e-05,-0.6779493
"665","ELP6",0.000383,2.95e-05,-0.7005609
"666","CEBPD",0.000383,2.95e-05,0.6711598
"667","DDIAS",0.000383,2.95e-05,0.7407716
"668","GPR183",0.000383,2.96e-05,-0.5661291
"669","",0.000386,2.99e-05,0.8993329
"670","CEBPA",0.000393,3.06e-05,0.757725
"671","UBE2L6",4e-04,3.13e-05,0.6268836
"672","GFOD1",0.000402,3.15e-05,-0.6059071
"673","ABHD14B",0.000405,3.17e-05,-0.740703
"674","SPA17",0.000406,3.18e-05,0.7102753
"675","H2AFJ",0.000413,3.25e-05,0.5768273
"676","SDCBP",0.000413,3.25e-05,0.6851242
"677","IL10RB",0.000413,3.25e-05,0.6012171
"678","ZYX",0.000413,3.26e-05,0.5280432
"679","PCED1A",0.000418,3.31e-05,-0.5710673
"680","HERC5",0.00042,3.34e-05,1.4757027
"681","PRRC2A",0.000422,3.36e-05,0.653944
"682","ASAP1",0.000423,3.37e-05,0.6118237
"683","SLC25A40",0.000426,3.41e-05,0.7121693
"684","MILR1",0.000426,3.41e-05,0.9806383
"685","GSTM1",0.000428,3.43e-05,-0.7842458
"686","PRKCQ-AS1",0.00043,3.46e-05,-0.6937532
"687","CR1",0.000437,3.53e-05,1.1138104
"688","CTSC",0.000437,3.53e-05,0.5047874
"689","HECTD3",0.000443,3.6e-05,-0.5855964
"690","UBE2Q2",0.000443,3.6e-05,-0.5834834
"691","PPP1CA",0.000443,3.61e-05,0.6378355
"692","IRAK3",0.00045,3.67e-05,0.8534543
"693","NUMB",0.000454,3.71e-05,0.5225348
"694","RPLP1",0.000454,3.71e-05,-1.0884088
"695","MXI1",0.000454,3.72e-05,1.5263006
"696","HIST2H2AA3",0.000457,3.75e-05,0.8526326
"697","HIF1AN",0.00047,3.87e-05,0.5119538
"698","RNASE2",0.00047,3.88e-05,1.0432826
"699","MARC1",0.00047,3.88e-05,0.9800617
"700","SCRIB",0.000471,3.89e-05,-0.5012849
"701","PKN1",0.000471,3.89e-05,0.7619127
"702","FUK",0.000472,3.91e-05,-0.5231048
"703","STOM",0.000475,3.94e-05,0.7432965
"704","",0.000476,3.95e-05,0.7289105
"705","IFNGR1",0.000478,3.97e-05,0.5344426
"706","NCDN",0.00048,4e-05,0.8651574
"707","BCL6",0.000481,4.02e-05,0.7992626
"708","ZNF691",0.000483,4.03e-05,0.7951194
"709","SLCO3A1",0.000486,4.07e-05,0.5765877
"710","GK",0.000486,4.07e-05,0.8914606
"711","BPGM",0.000486,4.08e-05,1.2742329
"712","",0.000486,4.1e-05,0.5789625
"713","VPS9D1",0.000486,4.1e-05,0.5873255
"714","ARL4C",0.000486,4.1e-05,-0.7728526
"715","KLRC3",0.000487,4.11e-05,-1.092105
"716","FAM43A",0.000496,4.21e-05,-0.7311212
"717","C19orf48",0.000496,4.21e-05,-0.5776125
"718","TNFSF10",0.000496,4.21e-05,0.7787823
"719","IL18RAP",0.000497,4.23e-05,0.8116029
"720","MIR1267",0.000499,4.25e-05,1.0639234
"721","",0.000504,4.31e-05,0.778199
"722","VPS41",0.000504,4.31e-05,-0.5582963
"723","MFSD14B",0.000504,4.32e-05,0.5495702
"724","TFDP1",0.000508,4.37e-05,0.6626891
"725","TLR6",0.000508,4.38e-05,0.745625
"726","STRBP",0.000508,4.39e-05,-0.7353599
"727","LGALS9",0.000508,4.39e-05,0.8166013
"728","",0.000508,4.39e-05,0.57266
"729","",0.000515,4.46e-05,-0.8092432
"730","PIGU",0.000518,4.49e-05,-0.5181047
"731","",0.000523,4.54e-05,0.8909105
"732","TFE3",0.000523,4.55e-05,0.5527909
"733","",0.000523,4.55e-05,0.5514156
"734","CD27",0.000523,4.58e-05,-0.5032484
"735","",0.000523,4.59e-05,-0.7573033
"736","CCR2",0.000528,4.63e-05,0.6922963
"737","TBK1",0.000529,4.64e-05,0.5249571
"738","NAMPT",0.000529,4.65e-05,1.0214849
"739","RAB24",0.00053,4.66e-05,0.7423263
"740","ZMAT5",0.000532,4.69e-05,0.7741867
"741","IGFLR1",0.000538,4.75e-05,0.5372708
"742","TOR1B",0.000538,4.75e-05,0.7748075
"743","PGAM1",0.000538,4.77e-05,0.6002531
"744","",0.000538,4.77e-05,1.1848344
"745","KLF12",0.000538,4.77e-05,-0.5494703
"746","PHTF1",0.000538,4.77e-05,0.5867708
"747","HTATIP2",0.000542,4.81e-05,0.5341704
"748","ATP5J",0.000542,4.81e-05,0.5999511
"749","OSBPL9",0.000551,4.9e-05,0.6102399
"750","S100A11",0.000551,4.91e-05,0.7048379
"751","FASTK",0.000556,4.97e-05,-0.6547873
"752","RIT1",0.000564,5.06e-05,0.5341738
"753","",0.000564,5.06e-05,-0.7800056
"754","CYP1B1",0.000564,5.06e-05,1.2501969
"755","EIF1B",0.000568,5.12e-05,0.6670784
"756","TXNDC12",0.000573,5.2e-05,-0.5617464
"757","TMEM99",0.000574,5.22e-05,-0.5183023
"758","EP300",0.000575,5.23e-05,0.5648031
"759","SLC16A3",0.000577,5.25e-05,0.6527711
"760","F2R",0.000577,5.26e-05,0.5217868
"761","PLEKHF1",0.000581,5.31e-05,-0.6360513
"762","",0.000581,5.31e-05,-0.6247567
"763","",0.000586,5.37e-05,0.730358
"764","",0.000587,5.38e-05,-1.0160965
"765","C19orf25",0.000591,5.43e-05,-0.6166443
"766","SMARCD3",0.000601,5.54e-05,0.686968
"767","",0.000602,5.56e-05,-1.040656
"768","DNAJB12",0.000602,5.57e-05,0.8477979
"769","IER2",0.000602,5.58e-05,0.5249377
"770","PLAUR",0.000613,5.7e-05,0.9020757
"771","SRGAP2",0.000613,5.71e-05,0.6530775
"772","SP100",0.000613,5.71e-05,0.5537186
"773","TARP",0.00062,5.8e-05,-0.8228809
"774","IDH1",0.000623,5.84e-05,0.681614
"775","",0.000626,5.88e-05,-0.5592086
"776","GOLGA8B",0.000627,5.89e-05,-0.5450387
"777","TSHZ3",0.000628,5.91e-05,0.676703
"778","",0.000633,5.96e-05,-0.5705552
"779","PTPRC",0.000635,5.98e-05,0.8857686
"780","",0.000635,5.99e-05,0.7510841
"781","CTBP1",0.000648,6.13e-05,1.2987562
"782","FPR2",0.000648,6.14e-05,0.895297
"783","C21orf2",0.000648,6.15e-05,-0.6803414
"784","H2AFY",0.00065,6.18e-05,0.6074223
"785","",0.000663,6.33e-05,-0.8874504
"786","GRB2",0.000667,6.37e-05,0.7937499
"787","SAMD4A",0.000668,6.39e-05,1.1808453
"788","CPQ",0.000674,6.46e-05,0.600987
"789","STAT2",0.000676,6.48e-05,0.5909539
"790","",0.000676,6.49e-05,-0.6879743
"791","",0.000677,6.51e-05,-0.6162277
"792","HBD",0.000679,6.53e-05,1.3593965
"793","NCF4",0.000697,6.72e-05,0.7537443
"794","ARPC4",0.000699,6.74e-05,0.5208741
"795","NR2C2",0.000699,6.75e-05,0.6772478
"796","CKLF",0.000709,6.87e-05,0.5228164
"797","CCR2",0.000709,6.87e-05,0.7338008
"798","LRRC25",0.000722,7.02e-05,0.8534436
"799","",0.000725,7.05e-05,-0.7182084
"800","FBLN2",0.000725,7.07e-05,-0.7458849
"801","SH3BGRL2",0.000725,7.08e-05,-0.9441141
"802","TOX2",0.000725,7.09e-05,-0.5594378
"803","GCA",0.000732,7.18e-05,0.6885795
"804","USP48",0.000732,7.18e-05,0.6389262
"805","LTB4R",0.000732,7.19e-05,0.8256494
"806","",0.000738,7.25e-05,0.8728325
"807","ALPK1",0.000743,7.31e-05,0.7381209
"808","CNIH4",0.000746,7.34e-05,0.5672179
"809","",0.000748,7.39e-05,-0.5692036
"810","KLHL3",0.000761,7.54e-05,-0.720986
"811","",0.000761,7.55e-05,0.7102447
"812","",0.000763,7.57e-05,-0.5412803
"813","RFXANK",0.000773,7.7e-05,0.672997
"814","RBMS1",0.000787,7.85e-05,0.9389692
"815","BET1",0.000794,7.95e-05,-0.5659403
"816","CARD11",0.000794,7.95e-05,-0.5051532
"817","EPG5",0.000797,8e-05,0.8324644
"818","FHL1",8e-04,8.08e-05,-0.7588047
"819","",0.000807,8.17e-05,0.6761294
"820","MOB1A",0.00081,8.22e-05,0.5360138
"821","ALAS2",0.000811,8.23e-05,0.5491901
"822","SCAND1",0.000813,8.27e-05,0.5071035
"823","RNF24",0.000826,8.43e-05,0.7628084
"824","ZSCAN2",0.00084,8.6e-05,-0.6276216
"825","ZBTB3",0.000844,8.64e-05,-0.640668
"826","",0.000849,8.72e-05,0.5290694
"827","FGR",0.00085,8.76e-05,0.5140645
"828","SLCO3A1",0.000851,8.78e-05,0.7703774
"829","",0.000861,8.91e-05,0.6570988
"830","CYBB",0.000862,8.94e-05,0.5290228
"831","GNA15",0.000862,8.95e-05,0.6396985
"832","",0.000872,9.07e-05,0.7329385
"833","MSL3",0.000872,9.07e-05,0.5143452
"834","GPAT3",0.000878,9.16e-05,0.839483
"835","",0.000885,9.25e-05,-1.1692191
"836","FAM126B",0.000885,9.26e-05,0.625645
"837","",0.000904,9.5e-05,0.6117285
"838","ACTA2",0.000912,9.59e-05,0.813829
"839","",0.00093,9.8e-05,-0.5916793
"840","RPN2",0.000942,9.94e-05,-0.63592
"841","",0.000945,9.98e-05,0.5577841
"842","TRAF5",0.00095,1e-04,-0.5403872
"843","",0.00095,0.000101,0.9106436
"844","HSF5",0.000956,0.000101,-0.7247726
"845","POLR1E",0.000962,0.000102,-0.5714251
"846","UBQLN1",0.000976,0.000104,0.6073651
"847","HOPX",0.000981,0.000105,-0.9733128
"848","SLC43A3",0.000981,0.000105,0.5214422
"849","RHOT1",0.000987,0.000106,0.5161047
"850","GRB10",0.000988,0.000106,0.9037898
"851","ISY1",0.000989,0.000106,0.6230756
"852","MFGE8",0.001,0.000108,-0.522152
"853","FNDC3B",0.00101,0.000109,0.5192586
"854","",0.00102,0.00011,1.0263285
"855","RFXANK",0.00102,0.00011,0.5389683
"856","CCNA2",0.00102,0.00011,0.77954
"857","TNFSF8",0.00102,0.000111,0.6603315
"858","",0.00104,0.000113,0.8155814
"859","CSNK1A1",0.00107,0.000117,0.58262
"860","BAZ1A",0.00108,0.000117,0.568421
"861","STAT1",0.00108,0.000118,0.6085551
"862","CDA",0.00108,0.000118,0.7970786
"863","C9orf66",0.00108,0.000118,0.6640382
"864","IGSF6",0.00108,0.000119,0.8356245
"865","JADE1",0.00108,0.000119,-0.5389097
"866","",0.00109,0.00012,0.5098995
"867","RPL9",0.00109,0.00012,-1.0155243
"868","JUP",0.00109,0.00012,0.7420168
"869","ARHGAP30",0.00109,0.000121,0.6487223
"870","",0.00113,0.000125,-0.5322121
"871","SESN1",0.00114,0.000126,-0.6337559
"872","LCK",0.00114,0.000127,-0.5487515
"873","",0.00116,0.000129,0.5275049
"874","BIRC2",0.00117,0.00013,0.5745033
"875","MRPL28",0.00118,0.000132,0.5572917
"876","B3GNT2",0.00119,0.000134,0.6705988
"877","GRINA",0.00124,0.000139,0.6590379
"878","",0.00124,0.000139,-0.7634382
"879","",0.00124,0.00014,-0.8004367
"880","NCF1",0.00124,0.00014,1.0133797
"881","NUSAP1",0.00124,0.00014,0.7795738
"882","ABHD2",0.00125,0.000142,0.649644
"883","DLEU1",0.00125,0.000142,-0.5566505
"884","TDRD7",0.00125,0.000142,0.7332686
"885","",0.00126,0.000143,-0.5520672
"886","",0.00128,0.000146,0.9108323
"887","",0.00129,0.000148,-0.6768202
"888","",0.00129,0.000148,-0.8336758
"889","ALAS2",0.00129,0.000148,1.1241333
"890","CD163",0.00129,0.000148,0.8093659
"891","SLAMF6",0.0013,0.000149,-0.5305752
"892","OAT",0.00131,0.000151,0.5966543
"893","",0.00132,0.000152,-0.7970478
"894","",0.00132,0.000152,0.5987126
"895","TOP1MT",0.00133,0.000153,-0.5075005
"896","HBM",0.00133,0.000153,0.7766908
"897","",0.00134,0.000155,0.6378928
"898","MOV10",0.00137,0.000159,0.6585364
"899","GNG10",0.00138,0.00016,0.8175248
"900","MT1F",0.00138,0.00016,0.5569712
"901","",0.00138,0.00016,2.2235555
"902","RASGRP1",0.00138,0.00016,-0.6531204
"903","NQO2",0.00138,0.000161,0.8624614
"904","LY9",0.00138,0.000161,-0.5825787
"905","TST",0.00138,0.000161,-0.5328112
"906","CD82",0.00139,0.000162,0.6339243
"907","KIF1B",0.0014,0.000164,0.6748631
"908","",0.0014,0.000165,-0.9603846
"909","NPHP3",0.00141,0.000165,-0.6005236
"910","EPHX2",0.00141,0.000166,-0.6643382
"911","SUV39H1",0.00142,0.000167,-0.6802447
"912","NAMPT",0.00142,0.000167,0.8091087
"913","ATP8B4",0.00142,0.000167,0.5968735
"914","ASGR1",0.00142,0.000168,0.7146065
"915","RIN1",0.00143,0.000169,0.9709107
"916","SLC16A6",0.00143,0.000169,0.7260023
"917","CNPY3",0.00143,0.000169,0.6083454
"918","KLHDC2",0.00143,0.000169,-0.5056695
"919","TFDP1",0.00143,0.00017,0.5314904
"920","CREB5",0.00145,0.000173,0.8927125
"921","BLVRA",0.00145,0.000173,0.6245666
"922","IL6R",0.00147,0.000175,0.8343467
"923","SPTLC1",0.00147,0.000175,0.5220228
"924","RAB27B",0.00147,0.000175,-0.6419749
"925","SLC25A22",0.00148,0.000177,-0.6145736
"926","RIDA",0.0015,0.00018,0.5455233
"927","",0.0015,0.00018,-0.5373508
"928","PGLYRP1",0.0015,0.00018,1.2331897
"929","INTS6L",0.0015,0.000181,-0.5923313
"930","",0.00151,0.000182,0.5002087
"931","",0.00152,0.000183,-0.6854065
"932","CLDND2",0.00152,0.000184,-0.7882396
"933","CEP131",0.00152,0.000184,-0.6509038
"934","",0.00152,0.000184,-0.6916058
"935","RNF19A",0.00153,0.000185,1.211164
"936","HBA1",0.00153,0.000186,0.5887978
"937","CSF3R",0.00153,0.000186,1.0133337
"938","",0.00155,0.000188,-0.6973537
"939","OXNAD1",0.00158,0.000193,-0.6559492
"940","",0.00159,0.000195,-0.6557463
"941","FCGR2A",0.0016,0.000196,0.6772382
"942","OSBPL10",0.00162,2e-04,-0.8795563
"943","ACOT9",0.00164,0.000202,0.6202794
"944","",0.00164,0.000203,0.5024661
"945","YPEL1",0.00164,0.000203,-0.612105
"946","RPS28",0.00165,0.000203,-0.6401204
"947","",0.00165,0.000204,1.0603339
"948","",0.00166,0.000206,-0.7523831
"949","",0.00168,0.00021,-0.5607269
"950","",0.00169,0.000211,-0.7520067
"951","LTBR",0.0017,0.000213,0.6441954
"952","CD36",0.0017,0.000214,0.741332
"953","MTRF1L",0.0017,0.000214,0.6256836
"954","AK4",0.00172,0.000217,1.2075567
"955","",0.00172,0.000218,-0.6143434
"956","",0.00173,0.000218,-0.6597029
"957","GAS6",0.00173,0.00022,0.6001327
"958","FPR2",0.00173,0.00022,0.9534765
"959","IFIT2",0.00173,0.000221,1.1011884
"960","TCEAL8",0.00174,0.000221,-0.5194086
"961","DHRS3",0.00175,0.000223,-0.5088524
"962","",0.00175,0.000224,-0.8410702
"963","GCLM",0.00176,0.000225,0.7078424
"964","CA4",0.00176,0.000225,1.2057223
"965","GRAP2",0.00177,0.000226,-0.6390776
"966","CREG1",0.00178,0.000228,0.614413
"967","TMLHE",0.00178,0.000229,0.8882216
"968","DCUN1D4",0.00179,0.00023,-0.5616557
"969","LYRM4",0.00179,0.000231,-0.6396022
"970","CTNNB1",0.0018,0.000232,0.565881
"971","LCK",0.0018,0.000232,-0.5727014
"972","RAB4B",0.00182,0.000235,0.5437947
"973","TKTL1",0.00182,0.000237,-0.5774199
"974","MVP",0.00183,0.000238,0.594787
"975","GNB4",0.00183,0.000239,0.6816391
"976","",0.00185,0.00024,0.7401721
"977","LAT2",0.00186,0.000242,0.5157607
"978","BAGE5",0.00187,0.000244,0.8852104
"979","IL15",0.00188,0.000245,0.7465933
"980","",0.00191,0.000251,0.6961632
"981","",0.00192,0.000253,-0.6512105
"982","STARD10",0.00199,0.000263,0.7693018
"983","KIF14",0.00202,0.000268,0.650542
"984","SOCS1",0.00203,0.000269,0.78126
"985","",0.00203,0.00027,-0.7056943
"986","RAB27A",0.00205,0.000273,0.6012012
"987","ZNF17",0.00208,0.000278,-0.5788176
"988","SIAH2",0.00208,0.000278,0.8017665
"989","RPL23AP87",0.00209,0.000279,-0.8274789
"990","MGMT",0.00209,0.00028,-0.5462318
"991","ELMOD2",0.00211,0.000283,0.5647128
"992","BIRC5",0.00211,0.000284,1.0145602
"993","",0.00212,0.000285,0.6430449
"994","SPG21",0.00215,0.00029,0.6084835
"995","AGL",0.00216,0.000292,-0.6101473
"996","IL6R",0.00216,0.000292,0.8131283
"997","",0.00216,0.000294,0.7506873
"998","LSP1",0.00218,0.000297,0.724114
"999","CTDSPL",0.00218,0.000297,-0.8906871
"1000","SH3PXD2A",0.00219,0.000298,-0.7879951
"1001","GSTM2",0.0022,0.000301,-0.6729803
"1002","C5AR1",0.00221,0.000302,0.6144475
"1003","ERP29",0.00223,0.000305,0.5098994
"1004","SERPINE2",0.00228,0.000314,-0.6044375
"1005","",0.00229,0.000316,-0.5256399
"1006","NCF1C",0.0023,0.000318,0.6011128
"1007","",0.00231,0.00032,-0.7204014
"1008","HCK",0.00231,0.00032,0.5790098
"1009","OAS1",0.00232,0.000321,1.4802343
"1010","MTA2",0.00234,0.000324,0.5385725
"1011","CXorf38",0.00234,0.000325,0.5641618
"1012","MRRF",0.00234,0.000326,-0.5348281
"1013","CXorf40B",0.00235,0.000327,-0.5477144
"1014","",0.00235,0.000328,0.6757468
"1015","PTGES2",0.00236,0.000329,0.6772116
"1016","OGFOD3",0.00237,0.000331,0.5391378
"1017","POLR3H",0.00237,0.000331,-0.7023968
"1018","",0.00238,0.000334,0.7974636
"1019","PLEC",0.00239,0.000336,0.6397991
"1020","TRIM5",0.0024,0.000337,0.6933176
"1021","STAM2",0.00241,0.000339,0.6293711
"1022","",0.00241,0.00034,-0.8886816
"1023","DDAH2",0.00245,0.000346,0.6333253
"1024","",0.00245,0.000347,-0.8288561
"1025","",0.00245,0.000348,1.0960877
"1026","",0.0025,0.000355,0.9047657
"1027","",0.00251,0.000357,-0.8746999
"1028","",0.00251,0.000358,-0.5026404
"1029","HIST2H2AC",0.00252,0.000359,0.6385174
"1030","",0.00253,0.000361,0.646966
"1031","RPL23AP64",0.00253,0.000362,-0.7809925
"1032","ZNF559",0.00256,0.000368,-0.6477186
"1033","",0.00259,0.000373,-0.8496988
"1034","LILRA2",0.00259,0.000374,0.6081732
"1035","AFF3",0.0026,0.000376,-0.7457092
"1036","ARRB2",0.00262,0.000379,0.5690664
"1037","",0.00263,0.000381,-0.6480868
"1038","FAM13A",0.00265,0.000384,0.8166486
"1039","",0.00272,0.000396,0.8722346
"1040","RFESD",0.00273,0.000397,0.67302
"1041","ZCCHC3",0.00276,0.000403,-0.571984
"1042","SMCO4",0.00277,0.000405,0.6400346
"1043","",0.00278,0.000406,0.5157859
"1044","NCALD",0.00282,0.000413,-0.6455693
"1045","SERPINB8",0.00289,0.000426,0.5551189
"1046","HSPA6",0.00294,0.000434,0.8277168
"1047","",0.00295,0.000436,-0.5925203
"1048","RBP7",0.00295,0.000437,0.6752641
"1049","LYZ",0.00295,0.000438,0.6375
