"","Name","adj.P.Val","P.Value","logFC"
"317","LARGE1",1.58e-07,1.1e-09,-1.18
"318","",1.58e-07,1.1e-09,-1.36
"319","RAB34",1.59e-07,1.11e-09,0.738
"320","",1.59e-07,1.11e-09,0.586
"321","",1.61e-07,1.13e-09,-0.676
"322","SERPINB1",1.62e-07,1.14e-09,0.77
"323","",1.65e-07,1.17e-09,-1.15
"324","",1.78e-07,1.27e-09,-0.849
"325","ANKRD44",1.78e-07,1.28e-09,-1.42
"326","DUSP8",1.82e-07,1.31e-09,-0.902
"327","PURA",1.83e-07,1.32e-09,-0.551
"328","AMOT",1.92e-07,1.39e-09,-0.647
"329","PNPLA7",1.92e-07,1.4e-09,-0.654
"330","",1.93e-07,1.41e-09,0.812
"331","CREB1",1.93e-07,1.41e-09,-0.816
"332","UHRF1",1.94e-07,1.42e-09,1.22
"333","CEP19",1.94e-07,1.43e-09,-0.828
"334","",1.94e-07,1.43e-09,-0.977
"335","",1.94e-07,1.44e-09,-0.879
"336","HTR3A",1.96e-07,1.45e-09,-0.991
"337","DEFA4",1.98e-07,1.47e-09,2.8
"338","MR1",2.03e-07,1.51e-09,0.501
"339","MMP28",2.11e-07,1.58e-09,-0.582
"340","",2.17e-07,1.63e-09,-0.77
"341","DOK3",2.18e-07,1.65e-09,0.74
"342","",2.22e-07,1.68e-09,-1.41
"343","ANLN",2.22e-07,1.68e-09,0.888
"344","CD36",2.23e-07,1.7e-09,0.767
"345","DCAF5",2.23e-07,1.71e-09,-0.544
"346","ERP44",2.25e-07,1.73e-09,-0.815
"347","PPTC7",2.26e-07,1.74e-09,-0.651
"348","OAS1",2.26e-07,1.75e-09,1.98
"349","ANKRD22",2.26e-07,1.75e-09,1.8
"350","RAB9B",2.33e-07,1.81e-09,-0.655
"351","CMPK2",2.33e-07,1.82e-09,1.73
"352","",2.42e-07,1.91e-09,-1.08
"353","",2.42e-07,1.91e-09,-1.03
"354","ITCH-IT1",2.42e-07,1.92e-09,-0.945
"355","",2.42e-07,1.93e-09,-0.956
"356","BCL11A",2.42e-07,1.93e-09,-0.608
"357","C1QB",2.45e-07,1.96e-09,1.77
"358","FABP5",2.47e-07,1.98e-09,0.824
"359","",2.47e-07,1.99e-09,-1.08
"360","NLRP1",2.47e-07,1.99e-09,-0.831
"361","ATG9B",2.48e-07,2e-09,-0.631
"362","GVINP1",2.51e-07,2.03e-09,-0.866
"363","ATRN",2.51e-07,2.04e-09,-0.606
"364","",2.52e-07,2.05e-09,-1.09
"365","",2.55e-07,2.08e-09,-0.704
"366","IFI35",2.56e-07,2.09e-09,0.944
"367","ELL2",2.56e-07,2.1e-09,0.837
"368","ARL 16.00",2.63e-07,2.17e-09,-0.889
"369","NUSAP1",2.63e-07,2.17e-09,0.826
"370","EXO5",2.64e-07,2.19e-09,-0.884
"371","",2.64e-07,2.19e-09,-0.987
"372","DMWD",2.65e-07,2.21e-09,-0.541
"373","LOC100419583",2.72e-07,2.27e-09,0.802
"374","HK3",2.74e-07,2.29e-09,1.15
"375","GSTCD",2.74e-07,2.3e-09,-0.501
"376","GNG5",2.74e-07,2.3e-09,0.544
"377","AFF3",2.74e-07,2.31e-09,-0.778
"378","GABPB2",2.81e-07,2.38e-09,-0.854
"379","",2.81e-07,2.39e-09,-0.716
"380","IPP",2.81e-07,2.39e-09,-0.678
"381","CCNB2",2.82e-07,2.41e-09,1.09
"382","",2.85e-07,2.44e-09,-0.534
"383","CD58",2.86e-07,2.46e-09,0.76
"384","MBD4",2.9e-07,2.5e-09,-0.895
"385","SYNJ2BP",2.91e-07,2.51e-09,-0.824
"386","ATG7",2.93e-07,2.53e-09,0.564
"387","APOPT1",2.93e-07,2.54e-09,-0.859
"388","SCO2",2.94e-07,2.55e-09,1.06
"389","TDRD1",2.96e-07,2.58e-09,-0.91
