"","Name","adj.P.Val","P.Value","logFC"
"527","DOPEY1",0.000658,3.9e-05,-0.61
"528","TMCC2",0.000659,3.92e-05,0.766
"529","TMEM156",0.000664,3.96e-05,-0.592
"530","UGCG",0.000687,4.15e-05,0.625
"531","---",0.000694,4.2e-05,-0.61
"532","SUPT3H",0.000697,4.24e-05,-0.517
"533","MBOAT7",0.000697,4.25e-05,0.521
"534","---",0.000697,4.25e-05,-0.834
"535","RNASE2",0.000708,4.34e-05,0.871
"536","FHL2",0.00071,4.36e-05,0.517
"537","MTR",0.00071,4.37e-05,-0.631
"538","CD6",0.000716,4.42e-05,-0.556
"539","CDA",0.000719,4.46e-05,0.707
"540","DDX60L",0.000722,4.49e-05,0.518
"541","OASL",0.000724,4.51e-05,0.774
"542","ZNF135",0.000727,4.53e-05,-0.638
"543","ZNF595",0.000728,4.54e-05,-0.582
"544","---",0.000739,4.62e-05,-0.55
"545","CD200",0.00075,4.72e-05,-0.602
"546","RTN1",0.000755,4.77e-05,-0.574
"547","ZNF850",0.000758,4.79e-05,-0.563
"548","MPP1",0.000759,4.81e-05,0.563
"549","INO80",0.000764,4.85e-05,-0.551
"550","---",0.000769,4.9e-05,0.528
"551","MYL9",0.000772,4.92e-05,0.535
"552","ZNF502",0.000784,5.01e-05,-0.526
"553","NQO2",0.000784,5.01e-05,0.643
"554","---",0.000788,5.06e-05,0.507
"555","---",0.000788,5.06e-05,-0.718
"556","KRBA2",0.000788,5.08e-05,-0.51
"557","AZU1",0.000796,5.16e-05,0.931
"558","ZNF415",0.000803,5.21e-05,-0.564
"559","IFI44",0.00081,5.27e-05,0.881
"560","IL1R2",0.00081,5.28e-05,0.833
"561","COBLL1",0.000837,5.51e-05,-0.607
"562","MGAM2",0.000854,5.68e-05,0.791
"563","DHRS9",0.000867,5.79e-05,0.695
"564","GPAT3",0.000873,5.87e-05,0.699
"565","OCIAD2",0.000878,5.92e-05,-0.545
"566","R3HDM4",0.000899,6.09e-05,0.525
"567","IL18R1",0.000899,6.1e-05,0.66
"568","FES",0.000908,6.17e-05,0.661
"569","YBX1",0.000911,6.2e-05,-0.53
"570","LILRB4",0.000951,6.58e-05,0.666
"571","INTS4",0.000972,6.74e-05,-0.636
"572","GFM1",0.000974,6.78e-05,-0.565
"573","UGT2B11",0.000974,6.79e-05,-0.757
"574","LAP3",0.000981,6.85e-05,0.535
"575","---",0.000991,6.96e-05,-0.836
"576","LINC01270",0.000991,6.97e-05,0.518
"577","PRC1",0.000993,6.98e-05,0.547
"578","CEACAM4",0.001,7.08e-05,0.522
"579","---",0.00101,7.12e-05,-0.532
"580","SFI1",0.00101,7.2e-05,-0.548
"581","GSN",0.00101,7.21e-05,0.639
"582","HIST1H2BM",0.00101,7.21e-05,0.564
"583","SECTM1",0.00102,7.31e-05,0.524
"584","GNPDA2",0.00104,7.45e-05,-0.714
"585","MX1",0.00104,7.47e-05,0.745
"586","CCDC191",0.00106,7.69e-05,-0.516
"587","---",0.00107,7.8e-05,-0.512
"588","ALG9",0.00108,7.85e-05,-0.563
"589","ADGRG3",0.00108,7.89e-05,0.65
"590","OAS2",0.00109,8e-05,0.603
"591","CYFIP1",0.0011,8.06e-05,0.596
"592","DSC1",0.00113,8.39e-05,-0.699
"593","OSGEPL1",0.00113,8.4e-05,-0.66
"594","TTC12",0.00114,8.45e-05,-0.552
"595","KCTD6",0.00114,8.45e-05,-0.592
"596","ACAD11",0.00114,8.47e-05,-0.588
"597","GNRH1",0.00118,8.86e-05,-0.503
"598","DST",0.00119,8.94e-05,-0.545
"599","BHLHE41",0.0012,9.01e-05,-0.554
"600","KDM8",0.0012,9.01e-05,-0.539
"601","OAS3",0.00122,9.31e-05,0.894
"602","HGF",0.00123,9.34e-05,0.685
"603","FLOT2",0.00124,9.47e-05,0.587
"604","PFKFB2",0.00126,9.67e-05,0.555
"605","RALGPS1",0.00127,9.72e-05,-0.538
"606","CD163",0.00128,9.86e-05,0.68
"607","CEP55",0.00132,0.000103,0.522
"608","PDLIM7",0.00135,0.000105,0.517
"609","---",0.00135,0.000106,-0.585
"610","ZNF26",0.00138,0.000109,-0.541
"611","CD300E",0.00138,0.000109,0.512
"612","MERTK",0.00141,0.000112,0.669
"613","PRTN3",0.00141,0.000112,0.518
"614","ANKRD36C",0.00142,0.000113,-0.556
"615","---",0.00148,0.000119,-0.597
"616","---",0.00149,0.000121,0.634
"617","USP18",0.00151,0.000122,0.912
"618","SAMSN1",0.00152,0.000123,0.522
"619","NUBPL",0.00153,0.000124,-0.594
"620","RAB6B",0.00153,0.000125,0.513
"621","TSPAN13",0.00156,0.000128,-0.545
"622","USP45",0.00157,0.00013,-0.543
"623","IFI35",0.00158,0.000131,0.507
"624","ST3GAL4",0.0016,0.000134,0.656
"625","---",0.0016,0.000134,-0.582
"626","RRM2",0.0016,0.000134,0.768
"627","---",0.00165,0.000139,-0.537
"628","---",0.00165,0.000139,-0.649
"629","ITGAM",0.00167,0.000141,0.637
"630","TXLNGY",0.00169,0.000144,-0.66
"631","CD83",0.00172,0.000147,-0.524
"632","ZNF569",0.00173,0.000148,-0.515
"633","USP41",0.00174,0.00015,0.898
"634","ZNF404",0.00174,0.00015,-0.532
"635","ORM1",0.00177,0.000153,1.11
"636","CLU",0.00177,0.000153,0.769
"637","MT2A",0.00181,0.000157,0.782
"638","CAMKK2",0.00182,0.000158,0.55
"639","CPA3",0.00182,0.000159,-0.688
"640","---",0.0019,0.000167,0.549
"641","PRF1",0.00193,0.00017,-0.535
"642","DCBLD2",0.00195,0.000174,-0.634
"643","CD180",0.00196,0.000175,-0.608
"644","ZNF92",0.00196,0.000176,-0.552
"645","LIN7A",0.00199,0.000179,0.671
"646","RILP",0.00204,0.000185,0.51
"647","RNASE3",0.00207,0.000188,0.909
"648","---",0.0021,0.000191,0.695
"649","CMTM5",0.00216,0.000199,0.728
"650","ATP9A",0.00218,0.000201,0.767
"651","SIPA1L2",0.0022,0.000202,0.553
"652","GPR141",0.00223,0.000206,0.555
"653","RASA2",0.00227,0.000212,-0.519
"654","GCA",0.00228,0.000212,0.578
"655","USP44",0.00229,0.000214,-0.546
"656","MAP2K6",0.00229,0.000215,0.613
"657","C1QB",0.00233,0.00022,0.547
"658","KCNQ5",0.00234,0.000222,-0.505
"659","S100P",0.00242,0.000231,0.634
"660","ORM2",0.00242,0.000231,0.965
"661","---",0.00245,0.000235,0.52
"662","TSPAN2",0.00246,0.000236,0.515
"663","ZNF713",0.00252,0.000243,-0.583
"664","CCNB2",0.00254,0.000246,0.563
"665","FAM129A",0.00261,0.000255,0.534
"666","MTFR1",0.00267,0.000263,-0.577
"667","HELZ2",0.00272,0.000268,0.567
"668","NSUN7",0.00273,0.000271,0.617
"669","CREB5",0.00275,0.000272,0.53
"670","ROPN1L",0.00279,0.000278,0.653
"671","HRH2",0.00279,0.000278,0.509
"672","OSBP2",0.00288,0.00029,0.591
"673","RAB32",0.0029,0.000292,0.546
"674","TYMS",0.00292,0.000295,0.606
"675","---",0.00293,0.000297,-0.587
"676","THEM4",0.00294,0.000298,-0.579
"677","PTPRM",0.00295,3e-04,-0.528
"678","---",0.00311,0.000321,-0.644
"679","GRB10",0.00315,0.000326,0.702
"680","MARC1",0.00318,0.00033,0.605
"681","---",0.0032,0.000334,-0.69
"682","GZMB",0.00322,0.000337,-0.56
"683","MGAM",0.00336,0.000356,0.58
"684","---",0.00339,0.00036,-0.617
"685","PCYT1B",0.00357,0.000383,0.528
"686","RBM11",0.00359,0.000387,-0.602
"687","---",0.00375,0.000408,-0.655
"688","ENTPD7",0.00375,0.000408,0.599
"689","KCNJ2",0.00375,0.000408,0.626
"690","FAM83A",0.00377,0.000411,0.52
"691","OLR1",0.00391,0.000431,0.572
"692","PARN",0.00402,0.000447,-0.514
"693","DHRS3",0.00403,0.000449,-0.531
"694","NFXL1",0.00419,0.000471,-0.544
"695","THG1L",0.00419,0.000472,-0.514
"696","KCNH8",0.00421,0.000474,-0.648
"697","KIR2DS5",0.00423,0.000479,-0.562
"698","LRRN1",0.00445,0.000513,0.61
"699","---",0.00446,0.000514,-0.648
"700","COQ6",0.00449,0.000519,-0.502
"701","---",0.00449,0.000519,-0.698
"702","PYCARD-AS1",0.00456,0.000531,0.591
"703","---",0.00459,0.000537,0.53
"704","AIM2",0.00463,0.000543,0.738
"705","KIF20B",0.00464,0.000545,-0.511
"706","---",0.00465,0.000546,-0.635
"707","CD274",0.00467,0.000551,0.514
"708","DGAT2",0.00469,0.000554,0.676
"709","NUP205",0.00477,0.000565,-0.528
"710","HACD3",0.00483,0.000577,-0.5
"711","IFIT3",0.00487,0.000583,0.789
"712","CCDC152",0.00499,0.000605,-0.545
"713","CYB5R2",0.00519,0.000635,0.582
"714","KIAA0125",0.00519,0.000636,-0.5
"715","RTP4",0.00528,0.000651,0.515
"716","RAB27A",0.00529,0.000653,0.508
"717","PKP2",0.00531,0.000656,0.522
"718","CHPT1",0.00547,0.00068,0.515
"719","DPY19L4",0.00556,0.000697,-0.518
"720","E2F8",0.00556,0.000697,0.585
"721","PDCD4",0.00569,0.000719,-0.579
"722","THBS1",0.00574,0.000729,0.506
"723","GZMK",0.00578,0.000737,-0.593
"724","LRRC27",0.00578,0.000738,-0.607
"725","KBTBD3",0.00581,0.000743,-0.585
"726","KEL",0.00589,0.000756,0.644
"727","PLA2G7",0.00589,0.000758,-0.58
"728","GMPR",0.0061,0.000794,0.567
"729","IFIT1",0.00644,0.000852,0.98
"730","MANSC1",0.00645,0.000853,0.554
"731","TMEM116",0.00672,0.000896,-0.502
"732","ZNF860",0.00673,0.000898,-0.52
"733","---",0.00674,9e-04,-0.633
"734","MILR1",0.00676,0.000904,0.525
"735","HBQ1",0.00676,0.000904,0.571
"736","BCL6",0.00681,0.000913,0.531
"737","IL2RB",0.00692,0.000931,-0.545
"738","ANK1",0.007,0.000948,0.546
"739","MGST1",0.00725,0.000989,0.619
"740","TNFRSF17",0.00732,0.001,-0.611
"741","FADS2",0.00746,0.00103,0.561
"742","---",0.00748,0.00103,-0.547
"743","ARL16",0.00765,0.00106,-0.555
"744","TAL1",0.00782,0.00109,0.515
"745","METTL8",0.00797,0.00112,-0.55
"746","CLECL1",0.0081,0.00114,-0.552
"747","CCND3",0.00828,0.00118,-0.53
"748","CCDC148",0.00835,0.00119,0.536
"749","ADAMTS1",0.00837,0.0012,-0.522
"750","---",0.00853,0.00123,-0.604
"751","CRHBP",0.00858,0.00124,0.519
"752","ESF1",0.00862,0.00124,-0.508
"753","PHOSPHO1",0.00869,0.00126,0.507
"754","OLFML2B",0.00952,0.00142,0.53
"755","GLT1D1",0.00955,0.00142,0.524
"756","---",0.00957,0.00143,0.6
"757","SUCNR1",0.00964,0.00144,0.591
"758","TPM1",0.00982,0.00147,0.522
"759","CMC1",0.00994,0.00149,-0.538
"760","---",0.0102,0.00155,-0.625
"761","---",0.0104,0.00158,-0.71
"762","GNPNAT1",0.0104,0.00158,-0.574
"763","NME8",0.0107,0.00164,0.567
"764","PPP2R2D",0.0107,0.00165,-0.5
"765","CATSPER3",0.0112,0.00173,-0.526
"766","---",0.0113,0.00177,-0.506
"767","---",0.0114,0.00179,-0.6
"768","IFIT2",0.0116,0.00183,0.561
"769","---",0.012,0.00191,-0.52
"770","---",0.0126,0.00204,-0.519
"771","ACPP",0.0131,0.00214,0.536
"772","---",0.0139,0.00232,-0.52
"773","---",0.0141,0.00235,-0.667
"774","SERPING1",0.0143,0.00241,0.522
"775","EPHB1",0.0165,0.0029,-0.576
"776","SELP",0.0181,0.00329,0.61
"777","MS4A3",0.0187,0.00342,0.811
"778","KIAA0101",0.0202,0.00379,0.572
"779","HERC5",0.0223,0.00434,0.756
"780","MAGEH1",0.0237,0.00471,-0.506
"781","TSPAN7",0.0248,0.00501,0.502
"782","FAM118A",0.0288,0.00613,-0.522
"783","SGIP1",0.0305,0.00665,0.51
"784","SLC4A1",0.0381,0.00897,0.505
"785","VSTM1",0.0409,0.00989,0.536
"786","---",0.0419,0.0102,-0.594
"787","FLNA",0.0459,0.0115,0.537
"788","SPATS2L",0.0483,0.0123,0.666
