"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000137628",106.100801683153,2.23982664848938,0.222010208072276,10.0888453190414,6.18932647646499e-24,1.61687052246947e-21
"ENSG00000111335",259.356391379949,2.53850494387728,0.252100291509302,10.0694248653164,7.54178021206438e-24,1.89583278802517e-21
"ENSG00000161055",374.821821168527,-3.83136925284119,0.380970394214277,-10.0568687515551,8.56801854886546e-24,2.1139205764173e-21
"ENSG00000115523",87.7186791436467,2.74333114966454,0.272841592509232,10.0546662421776,8.76178207474011e-24,2.12242222875932e-21
"ENSG00000089127",271.403469407628,2.48364124740739,0.249362282641984,9.95997157666872,2.28127926914151e-23,5.06558061712871e-21
"ENSG00000100453",110.417159158106,2.94059830461121,0.297434677086367,9.88653486344276,4.76227153641132e-23,1.04012694556734e-20
"ENSG00000132530",461.592715129979,2.10051543796851,0.21260986823532,9.879670475331,5.10003414300668e-23,1.09593153043997e-20
"ENSG00000177721",15.9016375740794,3.14731558863718,0.318811866086863,9.87201520215584,5.50473991471855e-23,1.16412142672691e-20
"ENSG00000121858",385.315491404001,2.51698597864478,0.258153242216383,9.74996849559247,1.84525526167009e-22,3.68028882150336e-20
"ENSG00000138207",20.7963045263059,-4.01996473959508,0.412318241578703,-9.74966502622649,1.85077948690779e-22,3.68028882150336e-20
"ENSG00000124256",176.037270365372,2.47732324646415,0.254542922030996,9.73243815501767,2.19273093122851e-22,4.29614032305256e-20
"ENSG00000133561",14.85917935212,2.28694258320938,0.235809032883089,9.6982823569071,3.06616769699904e-22,5.83579317530261e-20
"ENSG00000135114",167.619339837494,2.2465489404599,0.231808868498212,9.69138478184333,3.28050178696273e-22,6.15579229685978e-20
"ENSG00000157601",872.117996655126,2.37524441471911,0.245703398015402,9.6671207394951,4.15914756443513e-22,7.48815175688774e-20
"ENSG00000169245",387.540886434473,3.70198356665959,0.383954339451639,9.6417286804122,5.32830051338706e-22,9.34065101840209e-20
"ENSG00000110848",220.108074468978,2.70539306545483,0.280697788326193,9.6380989732308,5.52007379337376e-22,9.55116144793749e-20
"ENSG00000196329",36.5219568286466,2.06280684685255,0.214744790172548,9.60585281344933,7.55300529690164e-22,1.29011140475154e-19
"ENSG00000134326",189.414919948985,2.76002238589216,0.288209450358778,9.57644651296599,1.00441306629008e-21,1.69389813698516e-19
"ENSG00000174307",15.1733923777361,-2.72305853259865,0.288977821033109,-9.42307102622475,4.38083582988472e-21,7.08123425816289e-19
"ENSG00000165140",65.1899812036946,-2.05537280502668,0.219489848123081,-9.36431831632646,7.65427809362607e-21,1.199740553428e-18
"ENSG00000168016",71.560544939621,2.06080467994233,0.22152959202723,9.30261578637774,1.37032143353059e-20,2.1228828440614e-18
"ENSG00000175445",24.2129275903488,-2.81584636825782,0.302976135640537,-9.29395433176509,1.48660221314611e-20,2.27655187192478e-18
"ENSG00000131203",183.694453510391,2.58620700674308,0.279130696705549,9.26521890020299,1.94677587959526e-20,2.94737443680087e-18
"ENSG00000022267",17.4458546008999,-3.55308144102601,0.385550552402564,-9.21560459162858,3.0952898667488e-20,4.63354459490947e-18
"ENSG00000185338",78.6601369248161,2.38025256049721,0.262672869886689,9.06166122722914,1.28478689611834e-19,1.78304331426923e-17
"ENSG00000171115",13.804325188807,2.29354708435275,0.253658005166484,9.04188725621895,1.53989863730124e-19,2.1150587159551e-17
"ENSG00000179144",18.731388549705,2.29686604078741,0.255048541782486,9.00560350094552,2.14482871786359e-19,2.88641949576733e-17
"ENSG00000010030",29.7047815524238,2.33598055915354,0.26510578283236,8.81150359753073,1.23478319531922e-18,1.48207355957098e-16
"ENSG00000196586",17.6822883360538,-2.14531863105156,0.245773208374575,-8.72885472440083,2.57264425161007e-18,2.98046429253921e-16
"ENSG00000050327",14.3433686641594,-2.1349294596503,0.245797646547754,-8.68571969518646,3.76351908620465e-18,4.17844706545871e-16
"ENSG00000196139",15.2847659405127,-2.90495038403473,0.336128224740869,-8.64238754800861,5.50503274345301e-18,5.9196681672611e-16
"ENSG00000163735",111.053770040584,-2.59637572017186,0.301083522156982,-8.62344010582595,6.49721646641954e-18,6.8700329350879e-16
"ENSG00000134668",9.50739468861955,-2.17373697462233,0.256539643503511,-8.4732984927243,2.38540304637359e-17,2.39735468578925e-15
