"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000221838",-2.64522013430947,4.51227154729452,106.423416905858,5.95498930371918e-25,2.37178716839558e-22
"ENSG00000119922",4.53030076246716,9.89856486330726,105.671531315767,8.70287430241102e-25,3.34670531794785e-22
"ENSG00000137965",3.51266756795515,8.10449438271312,104.834952800766,1.32744958715705e-24,4.93457259865848e-22
"ENSG00000132530",2.44013683552622,8.54329279113417,104.328853382214,1.71375117824303e-24,6.16508165798913e-22
"ENSG00000055332",2.3112705881951,6.82532633980137,103.995849512741,2.02740316548961e-24,7.06550003173131e-22
"ENSG00000174307",-2.63965313812674,3.61237471266307,102.597520237358,4.10647036548846e-24,1.30689852939548e-21
"ENSG00000137959",3.59694165622425,7.64730501449216,102.566669568484,4.17092058189716e-24,1.30689852939548e-21
"ENSG00000185897",2.73752079022865,5.6084504489011,102.54404585173,4.21882595572428e-24,1.30689852939548e-21
"ENSG00000065268",-2.59595949306819,4.52048413423252,101.490854591817,7.17941431260793e-24,2.10696916879483e-21
"ENSG00000173540",-2.43468682151815,4.48631454873434,101.179939814944,8.39956905536732e-24,2.38157656433414e-21
"ENSG00000132274",2.00241172227353,8.80754682672068,101.146577603867,8.54224018771214e-24,2.38157656433414e-21
"ENSG00000205413",2.55144932053407,6.30513585171636,99.8141252462782,1.67392142269585e-23,4.44465992997717e-21
"ENSG00000085433",-2.55262159365095,4.87022134087306,99.6925429145415,1.77990139090337e-23,4.6161535607801e-21
"ENSG00000108771",2.72671518161376,5.93395410577757,99.4179330257737,2.04462762660838e-23,5.1577082290974e-21
"ENSG00000152778",2.70987479181074,5.63679719910775,99.3107760478138,2.15830467397973e-23,5.1577082290974e-21
"ENSG00000133561",2.51779382957019,3.70846687469858,99.2998583410234,2.17023576477205e-23,5.1577082290974e-21
"ENSG00000173821",2.16566969409229,10.0499275132096,97.4029531015935,5.65616104300463e-23,1.26155015903175e-20
"ENSG00000095319",-2.1285118365253,5.02925111814177,96.9041411616968,7.27663254159428e-23,1.59115698242862e-20
"ENSG00000115267",2.45878003798437,7.54034107408736,96.7737184117479,7.77209479254481e-23,1.66681540627807e-20
"ENSG00000167232",-2.29387612271483,4.84643883337873,96.5900775168964,8.52745699128683e-23,1.76542841567756e-20
"ENSG00000214872",2.83188715346284,4.5542680727474,96.5851923176439,8.54852353358932e-23,1.76542841567756e-20
"ENSG00000133106",2.59079018216386,7.84075956572566,95.8165295991996,1.26038964831234e-22,2.55561188326895e-20
"ENSG00000196329",2.29400874794265,4.92428334205083,95.0758968180939,1.83224103993154e-22,3.52508726643639e-20
"ENSG00000133574",2.35249769635096,6.46190858005652,95.0747002986283,1.83334882938765e-22,3.52508726643639e-20
"ENSG00000111331",2.80331476735152,7.94210380833357,92.7728270384866,5.86549789158353e-22,1.03828622995142e-19
"ENSG00000175899",-2.82845069968985,4.84402434782366,91.5668750646322,1.07883908872345e-21,1.85095592576061e-19
"ENSG00000175445",-2.68031330330877,4.26601709243855,90.7961745448797,1.59260975705118e-21,2.62557391880398e-19
"ENSG00000185745",4.25915483602401,7.74076647003339,90.7858276488849,1.6009597065878e-21,2.62557391880398e-19
"ENSG00000115523",2.94389912925426,6.12201444677149,88.8152967011602,4.33451226865331e-21,6.62170970137284e-19
"ENSG00000140464",2.06697821134528,7.06876546826058,88.3255831677725,5.55207227938145e-21,8.3671229810354e-19
"ENSG00000159131",-2.08857808145984,5.51446670077168,87.7221523563304,7.53260191563853e-21,1.12004768750935e-18
"ENSG00000157601",2.66602516529323,9.47399086061605,86.9439452615416,1.11640953651547e-20,1.61690898067799e-18
"ENSG00000171115",2.54221925038935,3.61388407731169,86.362891279083,1.4976904969145e-20,2.08778055269881e-18
